
 **Statistiques par instrument ID** 
 RZQR -> Bid Mean: 33.20, Ask Mean: 33.76, Bid Std: 0.47, Ask Std: 0.61
 EHJS -> Bid Mean: 33.39, Ask Mean: 34.10, Bid Std: 0.61, Ask Std: 0.63
 FBTU -> Bid Mean: 26.72, Ask Mean: 27.28, Bid Std: 0.20, Ask Std: 0.25
 EMBO -> Bid Mean: 21.36, Ask Mean: 21.86, Bid Std: 0.33, Ask Std: 0.56
 RMJZ -> Bid Mean: 33.82, Ask Mean: 34.18, Bid Std: 0.24, Ask Std: 0.31
 CDWI -> Bid Mean: 16.01, Ask Mean: 16.66, Bid Std: 0.90, Ask Std: 0.77
 BRZZ -> Bid Mean: 17.57, Ask Mean: 18.08, Bid Std: 0.29, Ask Std: 0.47
 QHWP -> Bid Mean: 43.78, Ask Mean: 44.35, Bid Std: 0.51, Ask Std: 0.55
 WODJ -> Bid Mean: 12.36, Ask Mean: 12.98, Bid Std: 0.30, Ask Std: 0.46
 CGZF -> Bid Mean: 39.05, Ask Mean: 39.53, Bid Std: 1.01, Ask Std: 1.09

 **Statistiques par instrument ID** 
 RZQR -> Bid Mean: 30.55, Ask Mean: 31.05, Bid Std: 0.47, Ask Std: 0.43
 EHJS -> Bid Mean: 35.92, Ask Mean: 36.49, Bid Std: 0.88, Ask Std: 0.83
 FBTU -> Bid Mean: 26.83, Ask Mean: 27.58, Bid Std: 0.58, Ask Std: 0.64
 EMBO -> Bid Mean: 23.72, Ask Mean: 24.22, Bid Std: 1.00, Ask Std: 1.08
 RMJZ -> Bid Mean: 32.95, Ask Mean: 33.54, Bid Std: 0.65, Ask Std: 0.81
 CDWI -> Bid Mean: 16.31, Ask Mean: 16.85, Bid Std: 0.48, Ask Std: 0.58
 BRZZ -> Bid Mean: 19.30, Ask Mean: 19.92, Bid Std: 0.54, Ask Std: 0.61
 QHWP -> Bid Mean: 45.11, Ask Mean: 45.78, Bid Std: 0.40, Ask Std: 0.45
 WODJ -> Bid Mean: 11.99, Ask Mean: 12.54, Bid Std: 0.55, Ask Std: 0.68
 CGZF -> Bid Mean: 40.30, Ask Mean: 40.92, Bid Std: 0.45, Ask Std: 0.43

 **Statistiques par instrument ID** 
